showName,area,logo_data,category_id
ホグズミード・マジカル・クリーチャーズ・ミート,ウィザーディング・ワールド・オブ・ハリー・ポッター,1.png,1
ヒッポグリフ・マジカル・レッスン,ウィザーディング・ワールド・オブ・ハリー・ポッター,2.png,3
ジュラシック・ワールド・ディノ・エンカウンター,ジェラシック・パークエリア,3.png,3
ジュラシック・ワールド・ベイビー・ディノ・アドベンチャー,ジェラシック・パークエリア,4.png,3
ユニバーサル・ワンダーランド～レッツ・ロック・トゥギャザー！～,ユニバーサル・ワンダーランド,5.png,3
クロミ・ライブ～世界クロミ化ツアー クリスタル・クリア～,ニューヨーク・エリア,6.png,3
パワー・オブ・ロック,ハリウッド・エリア,7.png,3
ミニオン・グリーティーング～レディ・トゥ・ロック！～,ハリウッド・エリア,8.png,1
メルティング・ポット,ニューヨーク・エリア,9.png,3
ウィキッド～オズの魔女たち～,ハリウッド・エリア,10.png,4
NO LIMIT!サマー・スプラッシュ・パレード,※地図参照,11.png,2
NO LIMIT!サマーダンスナイト with HYBE JAPAN,ニューヨーク・エリア,12.png,3
ワンピース・プレミアショー 2025,ウォーターワールド,13.png,4
クール・スプラッシュ・タイム～スペース・ファンタジー・ザ・ライド前～,※地図参照,14.png,2
クール・スプラッシュ・タイム～ハリウッド大通り～,※地図参照,15.png,2
クール・スプラッシュ・タイム～グラマシーパーク～,※地図参照,16.png,2
ミニオン・ヴィランコン・グリーティング,ミニオン・パーク,17.png,1
フロッグ・クワイア,ウィザーディング・ワールド・オブ・ハリー・ポッター,18.png,3
トライウィザード・スピリット・ラリー,ウィザーディング・ワールド・オブ・ハリー・ポッター,19.png,3
ワンド・スタディ,ウィザーディング・ワールド・オブ・ハリー・ポッター,20.png,1
ユニバーサル・モンスター・ライブ・ロックンロール・ショー,ハリウッド・エリア,21.png,4
モッピーのラッキー・ダンス・パーティー,ユニバーサル・ワンダーランド,22.png,3
ウォーターワールド,ウォーターワールド,23.png,4
